# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Aug 25 06:57:17 2024
#
# User preference: *
#
# CONSTRAINT:  where (hd_name like '%HD%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN hd_name:        HD ID
# COLUMN hip_name:       HIP ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_letter,hd_name,hip_name,default_flag,sy_snum,sy_pnum,sy_mnum,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_logg,sy_refname,glat,glon,sy_dist,sy_vmag,sy_gaiamag
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,1766.00000000,2.864000,,,,,1581.13800,4.97500,Msini,0.359000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5280.00,1.00,0.91,4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,1,1,2,0,2002,0,1765.03890000,2.774000,,,2559.47216,8.05300,2559.47216,8.05300,Mass,0.373000,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.91,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,1773.40002000,2.930000,,,,,1481.08780,4.66000,Msini,0.370000,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338.00,0.93,0.90,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,1796.40000000,2.800000,,,,,1506.45000,4.74000,Msini,0.338000,,,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,5255.00,,0.90,4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,1766.41000000,2.830000,,,,,1541.46777,4.85000,Msini,0.367400,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5314.94,1.00,0.97,4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,1724.00000000,2.820000,,,,,1554.12000,4.89000,Msini,0.370000,,,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,K0 V,,,1.00,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
14 Her b,14 Her,b,HD 145675,HIP 79248,0,1,2,0,2002,0,,2.730000,,,,,1440.66300,4.53300,Msini,0.357000,,,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,0.90,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,46.94447,69.16849,17.9323000,6.6193500,6.3830000
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,0,3,1,0,1996,0,799.45000000,1.676000,,,,,556.83537,1.75200,Msini,0.683200,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,1.16,0.98,4.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,0,3,1,0,1996,0,798.50000000,1.681000,,,,,533.95440,1.68000,Msini,0.681000,,,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5674.00,,0.99,4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,0,3,1,0,1996,0,800.80000000,1.600000,,,,,476.70000,1.50000,Msini,0.634000,,,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,G2.5 V,5760.00,,1.00,4.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,0,3,1,0,1996,0,799.50000000,1.680000,,,,,533.93000,1.68000,Msini,0.689000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5747.00,1.13,1.03,4.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,0,3,1,0,1996,0,799.50000000,1.680000,,,,,533.93000,1.68000,Msini,0.689000,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G3 V,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,1,3,1,0,1996,0,798.50000000,1.660000,,,,,565.73740,1.78000,Msini,0.680000,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.00,1.13,1.08,4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.20446,83.33558,21.1397000,6.2150000,6.0642800
18 Del b,18 Del,b,HD 199665,HIP 103527,0,2,1,0,2008,0,993.30000000,2.600000,,,,,3273.50000,10.30000,Msini,0.080000,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979.00,8.50,2.30,2.82,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-21.97480,58.69121,76.2220000,5.5104800,5.2747600
18 Del b,18 Del,b,HD 199665,HIP 103527,1,2,1,0,2008,0,982.85000000,2.476000,,,,,2926.24614,9.20700,Msini,0.024000,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.00,8.80,2.10,2.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-21.97480,58.69121,76.2220000,5.5104800,5.2747600
18 Del b,18 Del,b,HD 199665,HIP 103527,0,2,1,0,2008,0,,2.540000,,,,,3127.30000,9.84000,Msini,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,2.10,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-21.97480,58.69121,76.2220000,5.5104800,5.2747600
24 Boo b,24 Boo,b,HD 127243,HIP 70791,0,1,1,0,2018,0,30.35060000,0.190000,,,,,289.22530,0.91000,Msini,0.042000,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893.00,10.64,0.99,2.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,60.64470,90.16373,95.9863000,5.5900000,5.3339000
24 Boo b,24 Boo,b,HD 127243,HIP 70791,1,1,1,0,2018,0,30.33000000,0.194000,,,,,280.64248,0.88300,Msini,0.032000,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.00,12.19,1.05,2.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,60.64470,90.16373,95.9863000,5.5900000,5.3339000
24 Sex b,24 Sex,b,HD 90043,HIP 50887,1,1,2,0,2010,0,452.80000000,1.333000,,,,,632.46000,1.99000,Msini,0.090000,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.00,4.90,1.54,3.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.71580,245.08569,72.0691000,6.4535000,6.2037400
24 Sex c,24 Sex,c,HD 90043,HIP 50887,1,1,2,0,2010,0,883.00000000,2.080000,,,,,273.32000,0.86000,Msini,0.290000,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.00,4.90,1.54,3.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.71580,245.08569,72.0691000,6.4535000,6.2037400
30 Ari B b,30 Ari B,b,HD 16232,HIP 12184,0,4,1,0,2009,0,335.10000000,0.995000,,,,,3140.03000,9.88000,Msini,0.289000,,,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,F6 V,6300.00,1.13,1.16,4.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-32.30930,151.47681,44.6570000,7.0920900,6.9608500
30 Ari B b,30 Ari B,b,HD 16232,HIP 12184,0,4,1,0,2009,0,345.40000000,1.010000,,,,,2097.67800,6.60000,Msini,0.180000,,,<a refstr=KANE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815...32K/abstract target=ref>Kane et al. 2015 </a>,,,1.13,1.16,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-32.30930,151.47681,44.6570000,7.0920900,6.9608500
30 Ari B b,30 Ari B,b,HD 16232,HIP 12184,1,4,1,0,2009,0,335.10001000,0.990000,,,,,4392.41060,13.82000,Msini,0.290000,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331.00,1.41,1.93,4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-32.30930,151.47681,44.6570000,7.0920900,6.9608500
4 UMa b,4 UMa,b,HD 73108,HIP 42527,1,1,1,0,2006,0,270.27000000,0.877000,,,,,2511.48007,7.90200,Msini,0.453000,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.00,18.11,1.23,1.80,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,35.95654,151.35882,73.4603000,4.5801000,4.2377300
4 UMa b,4 UMa,b,HD 73108,HIP 42527,0,1,1,0,2006,0,269.30000000,0.870000,,,,,2256.50000,7.10000,Msini,0.432000,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.00,18.11,1.23,1.80,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,35.95654,151.35882,73.4603000,4.5801000,4.2377300
42 Dra b,42 Dra,b,HD 170693,HIP 90344,1,2,1,0,2008,0,479.10000000,1.190000,,,,,1233.13000,3.88000,Msini,0.380000,,,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200.00,22.03,0.98,1.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,27.12504,95.41912,90.6545000,4.8262000,4.4321600
47 UMa b,47 UMa,b,HD 95128,HIP 53721,0,1,3,0,1996,0,1076.60000000,2.100000,,,,,778.68350,2.45000,Msini,0.012000,,,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,G0 V,5882.00,,1.06,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa b,47 UMa,b,HD 95128,HIP 53721,1,1,3,0,1996,0,1078.00000000,2.100000,,,,,804.08000,2.53000,Msini,0.032000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.00,1.21,1.06,4.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa b,47 UMa,b,HD 95128,HIP 53721,0,1,3,0,1996,0,1100.80000000,2.110000,,,,,877.17000,2.76000,Msini,0.097000,,,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa b,47 UMa,b,HD 95128,HIP 53721,0,1,3,0,1996,0,1083.20000000,2.110000,,,,,826.32000,2.60000,Msini,0.049000,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G1 V,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa b,47 UMa,b,HD 95128,HIP 53721,0,1,3,0,1996,0,1076.60000000,2.059000,,,,,774.86566,2.43800,Msini,0.016000,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5829.16,1.14,1.01,4.33,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa c,47 UMa,c,HD 95128,HIP 53721,1,1,3,0,2001,0,2391.00000000,3.600000,,,,,171.62100,0.54000,Msini,0.098000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.00,1.21,1.06,4.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
47 UMa c,47 UMa,c,HD 95128,HIP 53721,0,1,3,0,2001,0,7586.00000000,7.730000,,,,,425.87000,1.34000,Msini,0.005000,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G1 V,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.36770,175.78305,13.7967000,5.0335200,4.8783700
